"school","conference","color","alt_color","logo"
"1","Air Force","Mountain West","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png"
"2","Akron","Mid-American","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png"
"3","Alabama","SEC","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"4","Appalachian State","Sun Belt","#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png"
"5","Arizona","Pac-12","#002449","#00205b","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
"6","Arizona State","Pac-12","#942139","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png"
"7","Arkansas","SEC","#9c1831","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png"
"8","Arkansas State","Sun Belt","#e81018","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png"
"9","Army","FBS Independents","#ce9c00","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png"
"10","Auburn","SEC","#03244d","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png"
"11","Ball State","Mid-American","#DA0000","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png"
"12","Baylor","Big 12","#004834","#ffb81c","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png"
"13","Boise State","Mountain West","#09347A","#d8d9da","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"14","Boston College","ACC","#88001a","#a39161","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png"
"15","Bowling Green","Mid-American","#2b1000","#492000","http://a.espncdn.com/i/teamlogos/ncaa/500/189.png"
"16","Buffalo","Mid-American","#041A9B","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png"
"17","BYU","FBS Independents","#001E4C","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png"
"18","California","Pac-12","#031522","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png"
"19","Central Michigan","Mid-American","#6a0032","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png"
"20","Charlotte","Conference USA","#0C562D","#cfab7a","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png"
"21","Cincinnati","American Athletic","#000000","#717073","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png"
"22","Clemson","ACC","#F66733","#522d80","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"23","Coastal Carolina","Sun Belt","#007073","#876447","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png"
"24","Colorado","Pac-12","#d1c57e","#ffd200","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png"
"25","Colorado State","Mountain West","#004537","#ffc425","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png"
"26","Connecticut","American Athletic","#001d40","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png"
"27","Duke","ACC","#001A57","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png"
"28","East Carolina","American Athletic","#4b1869","#f0907b","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png"
"29","Eastern Michigan","Mid-American","#00331b","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png"
"30","Florida","SEC","#0021A5","#0021a5","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"31","Florida Atlantic","Conference USA","#004B85","#bb2f4c","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
"32","Florida International","Conference USA","#001538","#c5960c","http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png"
"33","Florida State","ACC","#782F40","#ceb888","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png"
"34","Fresno State","Mountain West","#c41230","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png"
"35","Georgia","SEC","#CC0000","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"36","Georgia Southern","Sun Belt","#003775","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png"
"37","Georgia State","Sun Belt","#1e539a","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png"
"38","Georgia Tech","ACC","#00223e","#002c56","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png"
"39","Hawai'i","Mountain West","#003420","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/62.png"
"40","Houston","American Athletic","#C90822","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png"
"41","Illinois","Big Ten","#f77329","#fa6300","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png"
"42","Indiana","Big Ten","#7D110C","#eeedeb","http://a.espncdn.com/i/teamlogos/ncaa/500/84.png"
"43","Iowa","Big Ten","#000000","#ffe100","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png"
"44","Iowa State","Big 12","#660015","#830b2c","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png"
"45","Kansas","Big 12","#0022B4","#e8000d","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png"
